"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"CDXS","Codexis, Inc.","21.66","1173075644.22","n/a","2010","Basic Industries","Major Chemicals","https://www.nasdaq.com/symbol/cdxs",
"CDE","Coeur Mining, Inc.","3.92","804412020.16","n/a","n/a","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/cde",
"CMC","Commercial Metals Company","17.37","2048288985.9","n/a","n/a","Basic Industries","Steel/Iron Ore","https://www.nasdaq.com/symbol/cmc",
"CMP","Compass Minerals International, Inc.","54.83","1857302427.88","n/a","2003","Basic Industries","Mining & Quarrying of Nonmetallic Minerals (No Fuels)","https://www.nasdaq.com/symbol/cmp",
"LODE","Comstock Mining, Inc.","0.2143","17313355.5039","n/a","n/a","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/lode",
"BBCP","Concrete Pumping Holdings, Inc. ","7.35","212030646.45","n/a","2017","Basic Industries","Engineering & Construction","https://www.nasdaq.com/symbol/bbcp",
"CSTM","Constellium N.V.","8.44","1147834885.36","n/a","2013","Basic Industries","Metal Fabrications","https://www.nasdaq.com/symbol/cstm",
"ROAD","Construction Partners, Inc.","12.02","618003720.38","n/a","2018","Basic Industries","Military/Government/Technical","https://www.nasdaq.com/symbol/road",
"GLW","Corning Incorporated","34.02","26713141364.7","n/a","n/a","Basic Industries","Telecommunications Equipment","https://www.nasdaq.com/symbol/glw",
"CVA","Covanta Holding Corporation","17.56","2303052474.8","n/a","n/a","Basic Industries","Electric Utilities: Central","https://www.nasdaq.com/symbol/cva",
"CVIA","Covia Holdings Corporation","5.95","781946923.45","n/a","2018","Basic Industries","Mining & Quarrying of Nonmetallic Minerals (No Fuels)","https://www.nasdaq.com/symbol/cvia",
"CRWS","Crown Crafts, Inc.","5.17","52333624.86","n/a","n/a","Basic Industries","Textiles","https://www.nasdaq.com/symbol/crws",
"CSWI","CSW Industrials, Inc.","57.22","862401758.48","n/a","n/a","Basic Industries","Home Furnishings","https://www.nasdaq.com/symbol/cswi",
"CTIB","CTI Industries Corporation","3.19","11837930.5","n/a","1997","Basic Industries","Specialty Chemicals","https://www.nasdaq.com/symbol/ctib",
"CULP","Culp, Inc.","18.9","233763005.7","n/a","n/a","Basic Industries","Textiles","https://www.nasdaq.com/symbol/culp",
"UAN","CVR Partners, LP","3.89","440670764.97","n/a","2011","Basic Industries","Agricultural Chemicals","https://www.nasdaq.com/symbol/uan",
"DNN","Denison Mine Corp","0.53","312238321.24","n/a","n/a","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/dnn",
"UFS","Domtar Corporation","49.83","3135490113.69","n/a","n/a","Basic Industries","Paper","https://www.nasdaq.com/symbol/ufs",
"DWDP","DowDuPont Inc.","36.49","82276267496.42","n/a","2017","Basic Industries","Major Chemicals","https://www.nasdaq.com/symbol/dwdp",
"DRD","DRDGOLD Limited","1.95","133978394.55","n/a","n/a","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/drd",
"DY","Dycom Industries, Inc.","47.21","1484330743.04","n/a","n/a","Basic Industries","Water Supply","https://www.nasdaq.com/symbol/dy",
"DD^A","E.I. du Pont de Nemours and Company","82.05","0","n/a","n/a","Basic Industries","Major Chemicals","https://www.nasdaq.com/symbol/dd^a",
"DD^B","E.I. du Pont de Nemours and Company","104.8135","0","n/a","n/a","Basic Industries","Major Chemicals","https://www.nasdaq.com/symbol/dd^b",
